class_Id,weenie_name,weenie_type,property_type,icon_type,icon_decimal,icon_hex
1,Clay,10,8,MainIcon,100667446,1036
3,Olthoi Worker,10,8,MainIcon,100667623,10E7
4,Womble,11,8,MainIcon,100667446,1036
5,Laigus Lugian,10,8,MainIcon,100667447,1037
6,Banderling Scout,10,8,MainIcon,100667453,103D
7,Drudge Skulker,10,8,MainIcon,100667445,1035
8,Creeper Mosswart,10,8,MainIcon,100667449,1039
10,Mite Scamp,10,8,MainIcon,100667448,1038
11,Male Tusker,10,8,MainIcon,100667443,1033
12,Red Phyntos Wasp,10,8,MainIcon,100667450,103A
13,White Rat,10,8,MainIcon,100667451,103B
14,Cow,15,8,MainIcon,100667444,1034
16,Undead,10,8,MainIcon,100667942,1226
17,Gromnie,10,8,MainIcon,100667938,1222
18,Reedshark Elder,10,8,MainIcon,100667939,1223
19,Bronze Armoredillo,10,8,MainIcon,100667935,121F
20,Auroch Bull,15,8,MainIcon,100667936,1220
21,Corpse,14,8,MainIcon,100667504,1070
23,Virindi Servant,10,8,MainIcon,100667943,1227
35,Chainmail Basinet,2,8,MainIcon,100667343,0FCF
36,Leather Bracers,2,8,MainIcon,100667364,0FE4
37,Scalemail Bracers,2,8,MainIcon,100668181,1315
38,Studded Leather Bracers,2,8,MainIcon,100667332,0FC4
39,Leather Breastplate,2,8,MainIcon,100667350,0FD6
40,Platemail Breastplate,2,8,MainIcon,100667354,0FDA
41,Scalemail Breastplate,2,8,MainIcon,100668140,12EC
42,Studded Leather Breastplate,2,8,MainIcon,100667930,121A
43,Yoroi Breastplate,2,8,MainIcon,100668147,12F3
44,Buckler,1,8,MainIcon,100668451,1423
45,Leather Cap,2,8,MainIcon,100667313,0FB1
46,Metal Cap,2,8,MainIcon,100668166,1306
47,Leather Coat,2,8,MainIcon,100667353,0FD9
48,Studded Leather Coat,2,8,MainIcon,100668413,13FD
50,Leather Cuirass,2,8,MainIcon,100667351,0FD7
51,Platemail Cuirass,2,8,MainIcon,100667355,0FDB
52,Scalemail Cuirass,2,8,MainIcon,100668140,12EC
53,Studded Leather Cuirass,2,8,MainIcon,100668416,1400
54,Yoroi Cuirass,2,8,MainIcon,100668147,12F3
55,Chainmail Gauntlets,2,8,MainIcon,100667339,0FCB
56,Leather Gauntlets,2,8,MainIcon,100667340,0FCC
57,Platemail Gauntlets,2,8,MainIcon,100667341,0FCD
58,Scalemail Gauntlets,2,8,MainIcon,100669691,18FB
59,Studded Leather Gauntlets,2,8,MainIcon,100667342,0FCE
60,Leather Girth,2,8,MainIcon,100668143,12EF
61,Platemail Girth,2,8,MainIcon,100668144,12F0
62,Scalemail Girth,2,8,MainIcon,100668182,1316
63,Studded Leather Girth,2,8,MainIcon,100668145,12F1
64,Yoroi Girth,2,8,MainIcon,100668146,12F2
65,Leather Greaves,2,8,MainIcon,100668122,12DA
66,Platemail Greaves,2,8,MainIcon,100668167,1307
67,Scalemail Greaves,2,8,MainIcon,100667334,0FC6
68,Studded Leather Greaves,2,8,MainIcon,100668123,12DB
69,Yoroi Greaves,2,8,MainIcon,100668168,1308
71,Chainmail Hauberk,2,8,MainIcon,100667335,0FC7
72,Platemail Hauberk,2,8,MainIcon,100667357,0FDD
73,Scalemail Hauberk,2,8,MainIcon,100669690,18FA
74,Heaume,2,8,MainIcon,100667349,0FD5
75,Helmet,2,8,MainIcon,100667343,0FCF
76,Horned Helm,2,8,MainIcon,100667347,0FD3
77,Kabuton,2,8,MainIcon,100667944,1228
78,Kote,2,8,MainIcon,100667331,0FC3
80,Chainmail Leggings,2,8,MainIcon,100667334,0FC6
81,Leather Leggings,2,8,MainIcon,100667352,0FD8
82,Platemail Leggings,2,8,MainIcon,100667356,0FDC
83,Scalemail Leggings,2,8,MainIcon,100668169,1309
84,Studded Leather Leggings,2,8,MainIcon,100667931,121B
85,Chainmail Coif,2,8,MainIcon,100667338,0FCA
86,Leather Pauldrons,2,8,MainIcon,100668171,130B
87,Platemail Pauldrons,2,8,MainIcon,100668172,130C
88,Scalemail Pauldrons,2,8,MainIcon,100668173,130D
89,Studded Leather Pauldrons,2,8,MainIcon,100668174,130E
90,Yoroi Pauldrons,2,8,MainIcon,100667358,0FDE
91,Kite Shield,1,8,MainIcon,100668151,12F7
92,Large Kite Shield,1,8,MainIcon,100667360,0FE0
93,Round Shield,1,8,MainIcon,100668415,13FF
94,Large Round Shield,1,8,MainIcon,100667361,0FE1
95,Tower Shield,1,8,MainIcon,100667362,0FE2
96,Chainmail Shirt,2,8,MainIcon,100667335,0FC7
97,Leather Shirt,2,8,MainIcon,100667353,0FD9
98,Scalemail Shirt,2,8,MainIcon,100669692,18FC
99,Studded Leather Shirt,2,8,MainIcon,100667353,0FD9
101,Chainmail Sleeves,2,8,MainIcon,100668802,1582
102,Leather Sleeves,2,8,MainIcon,100668412,13FC
103,Platemail Sleeves,2,8,MainIcon,100668410,13FA
104,Scalemail Sleeves,2,8,MainIcon,100668803,1583
105,Studded Leather Sleeves,2,8,MainIcon,100668414,13FE
106,Yoroi Sleeves,2,8,MainIcon,100668411,13FB
107,Sollerets,2,8,MainIcon,100667309,0FAD
108,Chainmail Tassets,2,8,MainIcon,100673328,2730
109,Leather Tassets,2,8,MainIcon,100673335,2737
110,Platemail Tassets,2,8,MainIcon,100673371,275B
111,Scalemail Tassets,2,8,MainIcon,100673349,2745
112,Studded Leather Tassets,2,8,MainIcon,100673352,2748
113,Yoroi Tassets,2,8,MainIcon,100673372,275C
114,Platemail Vambraces,2,8,MainIcon,100667331,0FC3
115,Leather Boots,2,8,MainIcon,100667310,0FAE
116,Studded Leather Boots,2,8,MainIcon,100668177,1311
117,Breeches,2,8,MainIcon,100667366,0FE6
118,Cap,2,8,MainIcon,100668247,1357
119,Cowl,2,8,MainIcon,100667323,0FBB
120,Quilted Drawers,2,8,MainIcon,100667368,0FE8
121,Gloves,2,8,MainIcon,100667320,0FB8
